Time,Caption
2024-02-27 12:54:47,a cat eating a bowl of food on a table
2024-02-27 12:55:16,a cat eating a bowl of food
2024-02-27 12:55:18,a cat eating a bowl of food
2024-02-27 12:55:52,a cat eating a bowl of food
2024-02-27 12:56:01,a cat is eating a bowl of cereal
2024-02-27 12:56:02,a cat eating a bowl of food
2024-02-27 12:56:32,a cat sitting on a table next to a bowl of food
2024-02-27 12:57:09,a cat sitting on a table next to a bowl of food
2024-02-27 12:57:35,a cat sitting on a table next to a bowl of food
2024-02-27 12:58:06,a cat sitting on a table next to a bowl of food
2024-02-27 12:58:34,a cat is eating a cake with a cat on it
2024-02-27 12:59:07,a cat eating a bowl of food from a bowl
